paper_id,field,old,new,reason
P01_LI_2021_CHIR1,wnt_inhibitor_type,IWP2,Wnt-C59,"Paper uses Wnt-C59 (PORCN inhibitor), p1 + p12 Methods; IWP2 never mentioned"
P01_LI_2021_CHIR1,wnt_inhibitor_days,D3-D5,D2-D4,Organoid protocol adds Wnt-C59 on day 2 for 48h (p12); D3-D5 is the monolayer-control timing
P01_LI_2021_CHIR1,platform_type,AggreWell_ULA96,ULA96,p12: round-bottom ultra-low attachment 96-well plates (Costar); not AggreWell brand
P01_LI_2021_CHIR1,beating_onset_day,6,6-10,"p1: beating as early as day 6, robust by day 10 (protocol-general, not measured per dose)"
P01_LI_2021_CHIR2,wnt_inhibitor_type,IWP2,Wnt-C59,"Paper uses Wnt-C59 (PORCN inhibitor), p1 + p12 Methods; IWP2 never mentioned"
P01_LI_2021_CHIR2,wnt_inhibitor_days,D3-D5,D2-D4,Organoid protocol adds Wnt-C59 on day 2 for 48h (p12); D3-D5 is the monolayer-control timing
P01_LI_2021_CHIR2,platform_type,AggreWell_ULA96,ULA96,p12: round-bottom ultra-low attachment 96-well plates (Costar); not AggreWell brand
P01_LI_2021_CHIR2,beating_onset_day,6,6-10,"p1: beating as early as day 6, robust by day 10 (protocol-general, not measured per dose)"
P01_LI_2021_CHIR4,wnt_inhibitor_type,IWP2,Wnt-C59,"Paper uses Wnt-C59 (PORCN inhibitor), p1 + p12 Methods; IWP2 never mentioned"
P01_LI_2021_CHIR4,wnt_inhibitor_days,D3-D5,D2-D4,Organoid protocol adds Wnt-C59 on day 2 for 48h (p12); D3-D5 is the monolayer-control timing
P01_LI_2021_CHIR4,platform_type,AggreWell_ULA96,ULA96,p12: round-bottom ultra-low attachment 96-well plates (Costar); not AggreWell brand
P01_LI_2021_CHIR4,beating_onset_day,6,6-10,"p1: beating as early as day 6, robust by day 10 (protocol-general, not measured per dose)"
P01_LI_2021_CHIR4,cm_fraction_pct,64.9,59,"64.9 = Fig 1d d0 dose-response (no epicardial pulse); with d7 pulse the composition is 59% CM (p11/Fig 3f), consistent with this arm WT1/CD31"
P01_LI_2021_CHIR4,wt1_fraction_pct,NR,16,Epicardial 16% from Fig 3f full composition (p11); moved here from CHIR6.6 and corrected 20->16 to match CM 59
P01_LI_2021_CHIR4,wt1_fraction_method,NR,IF_WT1_confocal,"WT1 quantified by confocal IF (Fig 1h/3), not flow"
P01_LI_2021_CHIR4,cd31_fraction_pct,NR,1.6,Endothelial 1.63% from Fig 3f (p11); moved here from CHIR6.6
P01_LI_2021_CHIR4,organoid_diameter_um,NR,~1500,Fig 5b control (CHIR-alone 4uM) ~1550um
